experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,batching_mode,batching_window,block_length
batching_comparison,batching_comparison,ab0db617d186,0,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,no_batching,0.25,
batching_comparison,batching_comparison,ab0db617d186,0,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,no_batching,0.25,
batching_comparison,batching_comparison,5546b5cdac1e,0,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,19b378b2cef2,0,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,60ec3c75b020,0,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,cae618417d6a,0,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,5546b5cdac1e,0,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,19b378b2cef2,0,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,60ec3c75b020,0,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,cae618417d6a,0,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,ad1ec352cc37,0,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,no_batching,0.25,
batching_comparison,batching_comparison,ab0db617d186,0,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,no_batching,0.25,
batching_comparison,batching_comparison,cc7476b11ad7,1,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,no_batching,0.5,
batching_comparison,batching_comparison,cc7476b11ad7,1,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,no_batching,0.5,
batching_comparison,batching_comparison,460a2433a285,1,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
