experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,observation_model,batching_mode,batching_window,batching_phase,maximum_batch_size,trace_length,transient_observations,jitter_application,preserve_order,block_length,observed_input_states,observed_output_states,observed_joint_states,available_blocks,samples_per_joint_state,undersampling_warning
batching_comparison,batching_comparison,bc170f7ee0c2,0,0,batch_size_maximum,1.0,packets,exact,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,,,,,,,
batching_comparison,batching_comparison,bc170f7ee0c2,0,0,batch_size_mean,1.0,packets,exact,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,,,,,,,
batching_comparison,batching_comparison,bc170f7ee0c2,0,0,information_loss_from_ideal_bits_per_symbol,0.0,bits_per_symbol,exact,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,,,,,,,
batching_comparison,batching_comparison,fe301fb382a7,0,0,miller_madow_block_mutual_information,1.0005594351926634,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,1.0,2.0,2.0,2.0,999.0,499.5,0.0
batching_comparison,batching_comparison,1e33e0903e31,0,0,miller_madow_block_mutual_information,2.0033136110143843,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,2.0,4.0,4.0,4.0,499.0,124.75,0.0
batching_comparison,batching_comparison,a773922f138f,0,0,miller_madow_block_mutual_information,2.997407843347122,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,3.0,8.0,8.0,8.0,333.0,41.625,0.0
batching_comparison,batching_comparison,ab4a8ab6be59,0,0,miller_madow_block_mutual_information,4.010122621586587,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,4.0,16.0,16.0,16.0,249.0,15.5625,0.0
batching_comparison,batching_comparison,fe301fb382a7,0,0,normalized_miller_madow_block_mutual_information,1.0005594351926634,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,1.0,2.0,2.0,2.0,999.0,499.5,0.0
batching_comparison,batching_comparison,1e33e0903e31,0,0,normalized_miller_madow_block_mutual_information,1.0016568055071922,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,2.0,4.0,4.0,4.0,499.0,124.75,0.0
batching_comparison,batching_comparison,a773922f138f,0,0,normalized_miller_madow_block_mutual_information,0.9991359477823739,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,3.0,8.0,8.0,8.0,333.0,41.625,0.0
batching_comparison,batching_comparison,ab4a8ab6be59,0,0,normalized_miller_madow_block_mutual_information,1.0025306553966467,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,4.0,16.0,16.0,16.0,249.0,15.5625,0.0
batching_comparison,batching_comparison,fe301fb382a7,0,0,normalized_plugin_block_mutual_information,0.9998373656026289,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,1.0,2.0,2.0,2.0,999.0,499.5,0.0
batching_comparison,batching_comparison,1e33e0903e31,0,0,normalized_plugin_block_mutual_information,0.9994884261872188,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,2.0,4.0,4.0,4.0,499.0,124.75,0.0
batching_comparison,batching_comparison,a773922f138f,0,0,normalized_plugin_block_mutual_information,0.9940814606521323,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,3.0,8.0,8.0,8.0,333.0,41.625,0.0
batching_comparison,batching_comparison,ab4a8ab6be59,0,0,normalized_plugin_block_mutual_information,0.9916669879200732,bits_per_symbol,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,4.0,16.0,16.0,16.0,249.0,15.5625,0.0
batching_comparison,batching_comparison,fe301fb382a7,0,0,plugin_block_mutual_information,0.9998373656026289,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,1.0,2.0,2.0,2.0,999.0,499.5,0.0
batching_comparison,batching_comparison,1e33e0903e31,0,0,plugin_block_mutual_information,1.9989768523744376,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,2.0,4.0,4.0,4.0,499.0,124.75,0.0
batching_comparison,batching_comparison,a773922f138f,0,0,plugin_block_mutual_information,2.982244381956397,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,3.0,8.0,8.0,8.0,333.0,41.625,0.0
batching_comparison,batching_comparison,ab4a8ab6be59,0,0,plugin_block_mutual_information,3.966667951680293,bits_per_block,plugin_block,complete,,,,ideal_delays,ideal_delays,0.25,0.0,8,1000,1,timestamp,True,4.0,16.0,16.0,16.0,249.0,15.5625,0.0
