work_unit_id,experiment_kind,status,error,replication,batching_mode,batching_window,sweep_index
ceiling_release:0.25:0,batching_comparison,complete,,0,ceiling_release,0.25,16
ceiling_release:0.25:1,batching_comparison,complete,,1,ceiling_release,0.25,36
ceiling_release:0.25:2,batching_comparison,complete,,2,ceiling_release,0.25,56
ceiling_release:0.25:3,batching_comparison,complete,,3,ceiling_release,0.25,76
ceiling_release:0.25:4,batching_comparison,complete,,4,ceiling_release,0.25,96
ceiling_release:0.25:5,batching_comparison,complete,,5,ceiling_release,0.25,116
ceiling_release:0.25:6,batching_comparison,complete,,6,ceiling_release,0.25,136
ceiling_release:0.25:7,batching_comparison,complete,,7,ceiling_release,0.25,156
ceiling_release:0.25:8,batching_comparison,complete,,8,ceiling_release,0.25,176
ceiling_release:0.25:9,batching_comparison,complete,,9,ceiling_release,0.25,196
ceiling_release:0.5:0,batching_comparison,complete,,0,ceiling_release,0.5,17
ceiling_release:0.5:1,batching_comparison,complete,,1,ceiling_release,0.5,37
ceiling_release:0.5:2,batching_comparison,complete,,2,ceiling_release,0.5,57
ceiling_release:0.5:3,batching_comparison,complete,,3,ceiling_release,0.5,77
ceiling_release:0.5:4,batching_comparison,complete,,4,ceiling_release,0.5,97
ceiling_release:0.5:5,batching_comparison,complete,,5,ceiling_release,0.5,117
ceiling_release:0.5:6,batching_comparison,complete,,6,ceiling_release,0.5,137
ceiling_release:0.5:7,batching_comparison,complete,,7,ceiling_release,0.5,157
ceiling_release:0.5:8,batching_comparison,complete,,8,ceiling_release,0.5,177
ceiling_release:0.5:9,batching_comparison,complete,,9,ceiling_release,0.5,197
ceiling_release:0.75:0,batching_comparison,complete,,0,ceiling_release,0.75,18
ceiling_release:0.75:1,batching_comparison,complete,,1,ceiling_release,0.75,38
ceiling_release:0.75:2,batching_comparison,complete,,2,ceiling_release,0.75,58
ceiling_release:0.75:3,batching_comparison,complete,,3,ceiling_release,0.75,78
ceiling_release:0.75:4,batching_comparison,complete,,4,ceiling_release,0.75,98
ceiling_release:0.75:5,batching_comparison,complete,,5,ceiling_release,0.75,118
ceiling_release:0.75:6,batching_comparison,complete,,6,ceiling_release,0.75,138
