work_unit_id,experiment_kind,status,error,replication,sweep_index
0,capacity_surface,complete,,,0
1,capacity_surface,complete,,,1
10,capacity_surface,complete,,,10
100,capacity_surface,complete,,,100
101,capacity_surface,complete,,,101
102,capacity_surface,complete,,,102
103,capacity_surface,complete,,,103
104,capacity_surface,complete,,,104
105,capacity_surface,complete,,,105
106,capacity_surface,complete,,,106
107,capacity_surface,complete,,,107
108,capacity_surface,complete,,,108
109,capacity_surface,complete,,,109
11,capacity_surface,complete,,,11
110,capacity_surface,complete,,,110
111,capacity_surface,complete,,,111
112,capacity_surface,complete,,,112
113,capacity_surface,complete,,,113
114,capacity_surface,complete,,,114
115,capacity_surface,complete,,,115
116,capacity_surface,complete,,,116
117,capacity_surface,complete,,,117
118,capacity_surface,complete,,,118
119,capacity_surface,complete,,,119
12,capacity_surface,complete,,,12
120,capacity_surface,complete,,,120
121,capacity_surface,complete,,,121
122,capacity_surface,complete,,,122
123,capacity_surface,complete,,,123
124,capacity_surface,complete,,,124
125,capacity_surface,complete,,,125
126,capacity_surface,complete,,,126
127,capacity_surface,complete,,,127
128,capacity_surface,complete,,,128
129,capacity_surface,complete,,,129
13,capacity_surface,complete,,,13
130,capacity_surface,complete,,,130
131,capacity_surface,complete,,,131
132,capacity_surface,complete,,,132
133,capacity_surface,complete,,,133
134,capacity_surface,complete,,,134
135,capacity_surface,complete,,,135
136,capacity_surface,complete,,,136
137,capacity_surface,complete,,,137
138,capacity_surface,complete,,,138
139,capacity_surface,complete,,,139
14,capacity_surface,complete,,,14
140,capacity_surface,complete,,,140
141,capacity_surface,complete,,,141
142,capacity_surface,complete,,,142
143,capacity_surface,complete,,,143
15,capacity_surface,complete,,,15
16,capacity_surface,complete,,,16
17,capacity_surface,complete,,,17
18,capacity_surface,complete,,,18
19,capacity_surface,complete,,,19
2,capacity_surface,complete,,,2
20,capacity_surface,complete,,,20
21,capacity_surface,complete,,,21
22,capacity_surface,complete,,,22
23,capacity_surface,complete,,,23
24,capacity_surface,complete,,,24
25,capacity_surface,complete,,,25
26,capacity_surface,complete,,,26
27,capacity_surface,complete,,,27
28,capacity_surface,complete,,,28
29,capacity_surface,complete,,,29
3,capacity_surface,complete,,,3
30,capacity_surface,complete,,,30
31,capacity_surface,complete,,,31
32,capacity_surface,complete,,,32
33,capacity_surface,complete,,,33
34,capacity_surface,complete,,,34
35,capacity_surface,complete,,,35
36,capacity_surface,complete,,,36
37,capacity_surface,complete,,,37
38,capacity_surface,complete,,,38
39,capacity_surface,complete,,,39
4,capacity_surface,complete,,,4
40,capacity_surface,complete,,,40
41,capacity_surface,complete,,,41
42,capacity_surface,complete,,,42
43,capacity_surface,complete,,,43
44,capacity_surface,complete,,,44
45,capacity_surface,complete,,,45
46,capacity_surface,complete,,,46
47,capacity_surface,complete,,,47
48,capacity_surface,complete,,,48
49,capacity_surface,complete,,,49
5,capacity_surface,complete,,,5
50,capacity_surface,complete,,,50
51,capacity_surface,complete,,,51
52,capacity_surface,complete,,,52
53,capacity_surface,complete,,,53
54,capacity_surface,complete,,,54
55,capacity_surface,complete,,,55
56,capacity_surface,complete,,,56
57,capacity_surface,complete,,,57
58,capacity_surface,complete,,,58
59,capacity_surface,complete,,,59
6,capacity_surface,complete,,,6
60,capacity_surface,complete,,,60
61,capacity_surface,complete,,,61
62,capacity_surface,complete,,,62
63,capacity_surface,complete,,,63
64,capacity_surface,complete,,,64
65,capacity_surface,complete,,,65
66,capacity_surface,complete,,,66
67,capacity_surface,complete,,,67
68,capacity_surface,complete,,,68
69,capacity_surface,complete,,,69
7,capacity_surface,complete,,,7
70,capacity_surface,complete,,,70
71,capacity_surface,complete,,,71
72,capacity_surface,complete,,,72
73,capacity_surface,complete,,,73
74,capacity_surface,complete,,,74
75,capacity_surface,complete,,,75
76,capacity_surface,complete,,,76
77,capacity_surface,complete,,,77
78,capacity_surface,complete,,,78
79,capacity_surface,complete,,,79
8,capacity_surface,complete,,,8
80,capacity_surface,complete,,,80
81,capacity_surface,complete,,,81
82,capacity_surface,complete,,,82
83,capacity_surface,complete,,,83
84,capacity_surface,complete,,,84
85,capacity_surface,complete,,,85
86,capacity_surface,complete,,,86
87,capacity_surface,complete,,,87
88,capacity_surface,complete,,,88
89,capacity_surface,complete,,,89
9,capacity_surface,complete,,,9
90,capacity_surface,complete,,,90
91,capacity_surface,complete,,,91
92,capacity_surface,complete,,,92
93,capacity_surface,complete,,,93
94,capacity_surface,complete,,,94
95,capacity_surface,complete,,,95
96,capacity_surface,complete,,,96
97,capacity_surface,complete,,,97
98,capacity_surface,complete,,,98
99,capacity_surface,complete,,,99
