work_unit_id,experiment_kind,status,error,replication,sweep_index
0,detectability_frontier,complete,,,0
1,detectability_frontier,complete,,,1
10,detectability_frontier,complete,,,10
11,detectability_frontier,complete,,,11
12,detectability_frontier,complete,,,12
13,detectability_frontier,complete,,,13
14,detectability_frontier,complete,,,14
15,detectability_frontier,complete,,,15
16,detectability_frontier,complete,,,16
17,detectability_frontier,complete,,,17
18,detectability_frontier,complete,,,18
19,detectability_frontier,complete,,,19
2,detectability_frontier,complete,,,2
3,detectability_frontier,complete,,,3
4,detectability_frontier,complete,,,4
5,detectability_frontier,complete,,,5
6,detectability_frontier,complete,,,6
7,detectability_frontier,complete,,,7
8,detectability_frontier,complete,,,8
9,detectability_frontier,complete,,,9
