experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,sample_size,roc_table,target_false_positive_rate,target_fpr
finite_sample_detection,finite_sample_detection,45187531840e,0,,auc,0.958466,dimensionless,likelihood_ratio,complete,,0.950589225,0.9662923625,10,tables/roc_n_10.csv,,
finite_sample_detection,finite_sample_detection,46624d6afce6,0,,minimum_equal_prior_error,0.106,probability,likelihood_ratio,complete,,0.09297499999999999,0.1162625,10,tables/roc_n_10.csv,,
finite_sample_detection,finite_sample_detection,eb6a52c8ba56,0,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,10,tables/roc_n_10.csv,,
finite_sample_detection,finite_sample_detection,a5de77aa5d51,0,,tpr_at_fpr,0.579,probability,likelihood_ratio,complete,,0.428375,0.628525,10,tables/roc_n_10.csv,0.01,
finite_sample_detection,finite_sample_detection,7a278ea1da5b,0,,tpr_at_fpr,0.812,probability,likelihood_ratio,complete,,0.77095,0.85105,10,tables/roc_n_10.csv,0.05,
finite_sample_detection,finite_sample_detection,0343ba4c3db2,0,,tpr_at_fpr,0.88,probability,likelihood_ratio,complete,,0.855375,0.905525,10,tables/roc_n_10.csv,0.1,
finite_sample_detection,finite_sample_detection,3047c7e61018,0,,tpr_at_fpr,0.579,probability,exact,complete,,,,10,tables/roc_n_10.csv,,0.01
finite_sample_detection,finite_sample_detection,0eba1878827f,0,,tpr_at_fpr,0.812,probability,exact,complete,,,,10,tables/roc_n_10.csv,,0.05
finite_sample_detection,finite_sample_detection,dea2720afcab,0,,tpr_at_fpr,0.88,probability,exact,complete,,,,10,tables/roc_n_10.csv,,0.1
finite_sample_detection,finite_sample_detection,6cc178c78fbf,1,,auc,0.997257,dimensionless,likelihood_ratio,complete,,0.99609035,0.99852415,25,tables/roc_n_25.csv,,
finite_sample_detection,finite_sample_detection,c857e5b603c9,1,,minimum_equal_prior_error,0.02500000000000001,probability,likelihood_ratio,complete,,0.017500000000000005,0.029525000000000006,25,tables/roc_n_25.csv,,
finite_sample_detection,finite_sample_detection,807abd488757,1,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,25,tables/roc_n_25.csv,,
finite_sample_detection,finite_sample_detection,91edc987f07c,1,,tpr_at_fpr,0.949,probability,likelihood_ratio,complete,,0.9159,0.972,25,tables/roc_n_25.csv,0.01,
finite_sample_detection,finite_sample_detection,db6b5623c583,1,,tpr_at_fpr,0.986,probability,likelihood_ratio,complete,,0.979,0.994,25,tables/roc_n_25.csv,0.05,
finite_sample_detection,finite_sample_detection,2cdc07adeda6,1,,tpr_at_fpr,0.993,probability,likelihood_ratio,complete,,0.988,0.998,25,tables/roc_n_25.csv,0.1,
finite_sample_detection,finite_sample_detection,94c051066f17,1,,tpr_at_fpr,0.949,probability,exact,complete,,,,25,tables/roc_n_25.csv,,0.01
finite_sample_detection,finite_sample_detection,d35889c21693,1,,tpr_at_fpr,0.986,probability,exact,complete,,,,25,tables/roc_n_25.csv,,0.05
finite_sample_detection,finite_sample_detection,b563aaa37249,1,,tpr_at_fpr,0.993,probability,exact,complete,,,,25,tables/roc_n_25.csv,,0.1
