false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.005
0.0,0.01
0.0,0.015
0.0,0.02
0.0,0.025
0.0,0.03
0.0,0.035
0.0,0.04
0.0,0.045
0.0,0.05
0.0,0.055
0.0,0.06
0.0,0.065
0.0,0.07
0.0,0.075
0.0,0.08
0.0,0.085
0.0,0.09
0.0,0.095
0.0,0.1
0.0,0.105
0.0,0.11
0.0,0.115
0.0,0.12
0.0,0.125
0.0,0.13
0.0,0.135
0.0,0.14
0.0,0.145
0.0,0.15
0.0,0.155
0.0,0.16
0.0,0.165
0.0,0.17
0.0,0.175
0.0,0.18
0.0,0.185
0.0,0.19
0.0,0.195
0.0,0.2
0.0,0.205
0.0,0.21
0.0,0.215
0.0,0.22
0.0,0.225
0.0,0.23
0.0,0.235
0.0,0.24
0.0,0.245
0.0,0.25
0.0,0.255
0.0,0.26
0.0,0.265
0.0,0.27
0.0,0.275
0.0,0.28
0.0,0.285
0.0,0.29
0.0,0.295
0.0,0.3
0.0,0.305
0.0,0.31
0.0,0.315
0.0,0.32
0.0,0.325
0.0,0.33
0.0,0.335
0.005,0.335
0.005,0.34
0.005,0.345
0.005,0.35
0.005,0.355
0.005,0.36
0.005,0.365
0.005,0.37
0.005,0.375
0.005,0.38
0.005,0.385
0.005,0.39
0.005,0.395
0.005,0.4
0.005,0.405
0.005,0.41
0.005,0.415
0.005,0.42
0.005,0.425
0.005,0.43
0.005,0.44
0.005,0.445
0.005,0.45
0.005,0.455
0.005,0.46
0.005,0.465
0.005,0.47
0.005,0.475
0.005,0.48
0.005,0.485
0.005,0.49
0.005,0.495
0.005,0.5
0.005,0.505
0.005,0.51
0.005,0.515
0.005,0.52
0.005,0.525
0.005,0.53
0.005,0.535
0.005,0.54
0.005,0.545
0.005,0.55
0.005,0.555
0.005,0.56
0.005,0.565
0.005,0.57
0.005,0.575
0.005,0.58
0.005,0.585
0.01,0.585
0.01,0.59
0.01,0.595
0.01,0.6
0.01,0.605
0.01,0.61
0.01,0.615
0.01,0.62
0.01,0.625
0.01,0.63
0.01,0.635
0.01,0.64
0.01,0.645
0.01,0.65
0.01,0.655
0.01,0.66
0.01,0.665
0.01,0.67
0.01,0.675
0.01,0.68
0.01,0.685
0.01,0.69
0.01,0.695
0.01,0.7
0.01,0.705
0.01,0.71
0.01,0.715
0.01,0.72
0.01,0.725
0.01,0.735
0.01,0.74
0.01,0.745
0.01,0.75
0.01,0.755
0.01,0.76
0.01,0.765
0.01,0.77
0.01,0.775
0.015,0.775
0.02,0.775
0.02,0.78
0.02,0.785
0.02,0.79
0.025,0.79
0.025,0.795
0.025,0.8
0.03,0.8
0.03,0.805
0.03,0.81
0.03,0.815
0.03,0.82
0.03,0.825
0.035,0.825
0.035,0.83
0.035,0.835
0.035,0.84
0.04,0.84
0.04,0.845
0.04,0.85
0.04,0.855
0.04,0.86
0.045,0.86
0.045,0.865
0.05,0.865
0.055,0.865
0.055,0.87
0.055,0.875
0.055,0.88
0.06,0.88
0.065,0.88
0.065,0.885
0.065,0.89
0.065,0.895
0.07,0.895
0.075,0.895
0.08,0.895
0.085,0.895
0.09,0.895
0.09,0.9
0.095,0.9
0.1,0.9
0.105,0.9
0.11,0.9
0.11,0.905
0.115,0.905
0.12,0.905
0.125,0.905
0.13,0.905
0.135,0.905
0.14,0.905
0.14,0.91
0.145,0.91
0.145,0.915
0.15,0.915
0.155,0.915
0.16,0.915
0.165,0.915
0.17,0.915
0.17,0.92
0.175,0.92
