experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,sample_size,roc_table,hypothesis_pair,active_distribution_source,active_input_probabilities,active_output_hash,trial_batch_size,total_trials,root_seed,target_false_positive_rate
finite_sample_detection,finite_sample_detection,bd9a01832f1c,0,0,auc,0.95640554,dimensionless,likelihood_ratio,complete,,0.9536336375,0.960159308,10,tables/roc_n_10_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,c66c0eab5c39,1,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,10,tables/roc_n_10_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,79f5534c5aaa,2,0,auc,0.9963389,dimensionless,likelihood_ratio,complete,,0.995567147,0.996933177,25,tables/roc_n_25_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,c2baf5a8840a,3,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,25,tables/roc_n_25_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,90622c483f5b,4,0,auc,0.99995996,dimensionless,likelihood_ratio,complete,,0.999942649,0.999977703,50,tables/roc_n_50_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,df8016dbac45,5,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,50,tables/roc_n_50_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,70a8073dee32,6,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,100,tables/roc_n_100_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,9473656f15e2,7,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,100,tables/roc_n_100_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,e4268d869376,8,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,250,tables/roc_n_250_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,5d7035119cc6,9,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,250,tables/roc_n_250_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,0daea2b8b9da,10,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,500,tables/roc_n_500_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,838c9622e91d,11,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,500,tables/roc_n_500_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,04059865d791,12,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,1000,tables/roc_n_1000_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,4f33d38a63c6,13,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,1000,tables/roc_n_1000_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,7689e9782a6c,14,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,2500,tables/roc_n_2500_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,3bc630d1aeb0,15,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,2500,tables/roc_n_2500_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
finite_sample_detection,finite_sample_detection,fa32eec839be,16,0,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,5000,tables/roc_n_5000_active_vs_baseline.csv,active_vs_baseline,configured_input,"[0.2, 0.8]",4b0f4a4ed2832dede52f4176cd569d862a21c278e6cca14ceebd0a6cc03f6bef,128,5000,20260728,
finite_sample_detection,finite_sample_detection,09e91143b12d,17,0,auc,0.5,dimensionless,likelihood_ratio,complete,,0.5,0.5,5000,tables/roc_n_5000_baseline_vs_baseline.csv,baseline_vs_baseline,configured_input,"[0.2, 0.8]",a7c00e04734238a51390b6e03bd2d7fcc46bafdcf7637f438b9ac15f7f0aa646,128,5000,20260728,
