work_unit_id,experiment_kind,status,error,sample_size,hypothesis_pair,replication,sweep_index
1000:active_vs_baseline:0,finite_sample_detection,complete,,1000,active_vs_baseline,0,12
1000:baseline_vs_baseline:0,finite_sample_detection,complete,,1000,baseline_vs_baseline,0,13
100:active_vs_baseline:0,finite_sample_detection,complete,,100,active_vs_baseline,0,6
100:baseline_vs_baseline:0,finite_sample_detection,complete,,100,baseline_vs_baseline,0,7
10:active_vs_baseline:0,finite_sample_detection,complete,,10,active_vs_baseline,0,0
10:baseline_vs_baseline:0,finite_sample_detection,complete,,10,baseline_vs_baseline,0,1
2500:active_vs_baseline:0,finite_sample_detection,complete,,2500,active_vs_baseline,0,14
2500:baseline_vs_baseline:0,finite_sample_detection,complete,,2500,baseline_vs_baseline,0,15
250:active_vs_baseline:0,finite_sample_detection,complete,,250,active_vs_baseline,0,8
250:baseline_vs_baseline:0,finite_sample_detection,complete,,250,baseline_vs_baseline,0,9
25:active_vs_baseline:0,finite_sample_detection,complete,,25,active_vs_baseline,0,2
25:baseline_vs_baseline:0,finite_sample_detection,complete,,25,baseline_vs_baseline,0,3
5000:active_vs_baseline:0,finite_sample_detection,complete,,5000,active_vs_baseline,0,16
5000:baseline_vs_baseline:0,finite_sample_detection,complete,,5000,baseline_vs_baseline,0,17
500:active_vs_baseline:0,finite_sample_detection,complete,,500,active_vs_baseline,0,10
500:baseline_vs_baseline:0,finite_sample_detection,complete,,500,baseline_vs_baseline,0,11
50:active_vs_baseline:0,finite_sample_detection,complete,,50,active_vs_baseline,0,4
50:baseline_vs_baseline:0,finite_sample_detection,complete,,50,baseline_vs_baseline,0,5
