work_unit_id,experiment_kind,status,error,replication,sweep_index
0,jitter_comparison,complete,,,0
1,jitter_comparison,complete,,,1
10,jitter_comparison,complete,,,10
11,jitter_comparison,complete,,,11
12,jitter_comparison,complete,,,12
13,jitter_comparison,complete,,,13
14,jitter_comparison,complete,,,14
15,jitter_comparison,complete,,,15
16,jitter_comparison,complete,,,16
17,jitter_comparison,complete,,,17
18,jitter_comparison,complete,,,18
19,jitter_comparison,complete,,,19
2,jitter_comparison,complete,,,2
20,jitter_comparison,complete,,,20
21,jitter_comparison,complete,,,21
22,jitter_comparison,complete,,,22
23,jitter_comparison,complete,,,23
3,jitter_comparison,complete,,,3
4,jitter_comparison,complete,,,4
5,jitter_comparison,complete,,,5
6,jitter_comparison,complete,,,6
7,jitter_comparison,complete,,,7
8,jitter_comparison,complete,,,8
9,jitter_comparison,complete,,,9
