experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,quantizer_step,quantizer_phase,jitter_distribution,jitter_scale,alphabet
phase_sensitivity_noncommensurate_07,phase_sensitivity,92cfd57f7bb6,0,,capacity_bits_per_symbol,0.08173233775809456,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,919d11ae51dd,0,,capacity_phase_maximum,0.0817323377580951,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_07,phase_sensitivity,919d11ae51dd,0,,capacity_phase_mean,0.0817323377580945,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_07,phase_sensitivity,919d11ae51dd,0,,capacity_phase_minimum,0.08173233775809388,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_07,phase_sensitivity,92cfd57f7bb6,0,,capacity_residual,1.3877787807814457e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,0e9efd32944e,0,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,0e9efd32944e,0,,mutual_information,0.08173233775809458,bits_per_symbol,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,919d11ae51dd,0,,quantizer_phase,0.0,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_07,phase_sensitivity,e8b44a2c9239,1,,capacity_bits_per_symbol,0.0817323377580946,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,e8b44a2c9239,1,,capacity_residual,4.163336342344337e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,8bdb3555b6df,1,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,8bdb3555b6df,1,,mutual_information,0.0817323377580946,bits_per_symbol,exact,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,ff35858c6dfe,1,,quantizer_phase,0.0078125,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_07,phase_sensitivity,552ccefbbf06,2,,capacity_bits_per_symbol,0.08173233775809455,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,552ccefbbf06,2,,capacity_residual,2.7755575615628914e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,155efddbdc09,2,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.7]"
phase_sensitivity_noncommensurate_07,phase_sensitivity,155efddbdc09,2,,mutual_information,0.08173233775809456,bits_per_symbol,exact,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.7]"
