experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,quantizer_step,quantizer_phase,jitter_distribution,jitter_scale,alphabet
phase_sensitivity_noncommensurate_075,phase_sensitivity,2b9173249d34,0,,capacity_bits_per_symbol,0.09306721431250807,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,919d11ae51dd,0,,capacity_phase_maximum,0.09306721431250858,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,919d11ae51dd,0,,capacity_phase_mean,0.09306721431250795,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,919d11ae51dd,0,,capacity_phase_minimum,0.09306721431250725,bits_per_symbol,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,2b9173249d34,0,,capacity_residual,2.7755575615628914e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,c4f459910b16,0,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,c4f459910b16,0,,mutual_information,0.09306721431250808,bits_per_symbol,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,919d11ae51dd,0,,quantizer_phase,0.0,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,1301f6315171,1,,capacity_bits_per_symbol,0.09306721431250806,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,1301f6315171,1,,capacity_residual,1.3877787807814457e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,62c484135f6e,1,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,62c484135f6e,1,,mutual_information,0.09306721431250806,bits_per_symbol,exact,complete,,,,0.5,0.0078125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,ff35858c6dfe,1,,quantizer_phase,0.0078125,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,88152b73b9be,2,,capacity_bits_per_symbol,0.093067214312508,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,88152b73b9be,2,,capacity_residual,1.3877787807814457e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,277c49aeaba7,2,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,277c49aeaba7,2,,mutual_information,0.09306721431250803,bits_per_symbol,exact,complete,,,,0.5,0.015625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,ce9ddfb21dd2,2,,quantizer_phase,0.015625,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,9b2c59d8f0ec,3,,capacity_bits_per_symbol,0.09306721431250813,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0234375,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,9b2c59d8f0ec,3,,capacity_residual,1.3877787807814457e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0234375,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,5acbc6e79c86,3,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0234375,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,5acbc6e79c86,3,,mutual_information,0.09306721431250813,bits_per_symbol,exact,complete,,,,0.5,0.0234375,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,b9169dfd7099,3,,quantizer_phase,0.0234375,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,06cfc449dfff,4,,capacity_bits_per_symbol,0.09306721431250799,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.03125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,06cfc449dfff,4,,capacity_residual,8.326672684688674e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.03125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,9d77a583399d,4,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.03125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,9d77a583399d,4,,mutual_information,0.09306721431250799,bits_per_symbol,exact,complete,,,,0.5,0.03125,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,5a335f5dc764,4,,quantizer_phase,0.03125,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,cd7b43e0c6fc,5,,capacity_bits_per_symbol,0.0930672143125076,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0390625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,cd7b43e0c6fc,5,,capacity_residual,2.498001805406602e-16,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0390625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,8e4ba3115943,5,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0390625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,8e4ba3115943,5,,mutual_information,0.09306721431250763,bits_per_symbol,exact,complete,,,,0.5,0.0390625,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,fb9cc9eebe15,5,,quantizer_phase,0.0390625,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,d157c17f2db5,6,,capacity_bits_per_symbol,0.09306721431250808,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.046875,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,d157c17f2db5,6,,capacity_residual,6.938893903907228e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.046875,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,ef988a2fc659,6,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.046875,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,ef988a2fc659,6,,mutual_information,0.09306721431250808,bits_per_symbol,exact,complete,,,,0.5,0.046875,gaussian,1.0,"[0.0, 0.75]"
phase_sensitivity_noncommensurate_075,phase_sensitivity,95eed3b270f9,6,,quantizer_phase,0.046875,normalized_time,exact,complete,,,,,,,,
phase_sensitivity_noncommensurate_075,phase_sensitivity,d4c7064a2361,7,,capacity_bits_per_symbol,0.09306721431250803,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0546875,gaussian,1.0,"[0.0, 0.75]"
