false_positive_rate,true_positive_rate,hypothesis_pair
0.0,0.0,active_vs_baseline
0.0,0.002,active_vs_baseline
0.0,0.004,active_vs_baseline
0.0,0.006,active_vs_baseline
0.0,0.008,active_vs_baseline
0.0,0.01,active_vs_baseline
0.0,0.012,active_vs_baseline
0.0,0.014,active_vs_baseline
0.0,0.016,active_vs_baseline
0.0,0.018,active_vs_baseline
0.0,0.02,active_vs_baseline
0.0,0.022,active_vs_baseline
0.0,0.024,active_vs_baseline
0.0,0.026,active_vs_baseline
0.0,0.028,active_vs_baseline
0.0,0.03,active_vs_baseline
0.0,0.032,active_vs_baseline
0.0,0.034,active_vs_baseline
0.0,0.036,active_vs_baseline
0.0,0.038,active_vs_baseline
0.0,0.04,active_vs_baseline
0.0,0.042,active_vs_baseline
0.0,0.044,active_vs_baseline
0.0,0.046,active_vs_baseline
0.0,0.048,active_vs_baseline
0.0,0.05,active_vs_baseline
0.0,0.052,active_vs_baseline
0.0,0.054,active_vs_baseline
0.0,0.056,active_vs_baseline
0.0,0.058,active_vs_baseline
0.0,0.06,active_vs_baseline
0.0,0.062,active_vs_baseline
0.0,0.064,active_vs_baseline
0.0,0.066,active_vs_baseline
0.0,0.068,active_vs_baseline
0.0,0.072,active_vs_baseline
0.0,0.074,active_vs_baseline
0.0,0.076,active_vs_baseline
0.0,0.078,active_vs_baseline
0.0,0.08,active_vs_baseline
0.0,0.082,active_vs_baseline
0.0,0.084,active_vs_baseline
0.0,0.086,active_vs_baseline
0.0,0.088,active_vs_baseline
0.0,0.09,active_vs_baseline
0.0,0.092,active_vs_baseline
0.0,0.094,active_vs_baseline
0.0,0.096,active_vs_baseline
0.0,0.098,active_vs_baseline
0.0,0.1,active_vs_baseline
0.0,0.102,active_vs_baseline
0.0,0.104,active_vs_baseline
0.0,0.106,active_vs_baseline
0.0,0.108,active_vs_baseline
0.0,0.11,active_vs_baseline
0.0,0.112,active_vs_baseline
0.0,0.114,active_vs_baseline
